start_time   , end_time     , Duration (mS), Voltage (mV), Remaining_charge (mAh), Intensity (mA), Power (W), Consumed charge(mAh), Energy (J), Top app              , Screen(ON/OFF), GPS(ON/OFF), Mobile_Radio(ON/OFF), WiFi(ON/OFF), Wifi radio, Camera(ON/OFF), Video (ON/OFF), Audio(ON/OFF), Wakelock_in (Service)
1759479236131, 1759479236133,             2,         4265,                   2244,     215.510166,  0.919151,             0.000120,   0.001838, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*:GnssLocationProvider
1759479236133, 1759479236751,           618,         4265,                   2244,     215.510166,  0.919151,             0.036996,   0.568035, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479236751, 1759479236758,             7,         4265,                   2244,     215.510166,  0.919151,             0.000419,   0.006434, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , CallbackRunner
1759479236758, 1759479236762,             4,         4265,                   2244,     215.510166,  0.919151,             0.000239,   0.003677, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation
1759479236762, 1759479236763,             1,         4265,                   2244,     215.510166,  0.919151,             0.000060,   0.000919, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479236763, 1759479236767,             4,         4265,                   2244,     215.510166,  0.919151,             0.000239,   0.003677, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation
1759479236767, 1759479236769,             2,         4265,                   2244,     215.510166,  0.919151,             0.000120,   0.001838, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , CallbackRunner
1759479236769, 1759479236771,             2,         4265,                   2244,     215.510166,  0.919151,             0.000120,   0.001838, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479236771, 1759479237180,           409,         4265,                   2244,     215.510166,  0.919151,             0.024484,   0.375933, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479237180, 1759479237181,             1,         4265,                   2244,     215.510166,  0.919151,             0.000060,   0.000919, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*:GnssLocationProvider
1759479237181, 1759479238181,          1000,         4265,                   2244,     215.510166,  0.919151,             0.059864,   0.919151, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479238181, 1759479238182,             1,         4265,                   2244,     215.510166,  0.919151,             0.000060,   0.000919, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*:GnssLocationProvider
1759479238182, 1759479239180,           998,         4265,                   2244,     215.510166,  0.919151,             0.059744,   0.917313, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479239180, 1759479239181,             1,         4265,                   2244,     215.510166,  0.919151,             0.000060,   0.000919, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*:GnssLocationProvider
1759479239181, 1759479239540,           359,         4265,                   2244,     215.510166,  0.919151,             0.021491,   0.329975, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479239540, 1759479239554,            14,         4265,                   2244,     215.510166,  0.919151,             0.000838,   0.012868, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*:GnssLocationProvider
1759479239554, 1759479239575,            21,         4265,                   2244,     215.510166,  0.919151,             0.001257,   0.019302, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479239575, 1759479239576,             1,         4265,                   2244,     215.510166,  0.919151,             0.000060,   0.000919, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *location*
1759479239576, 1759479239585,             9,         4265,                   2244,     215.510166,  0.919151,             0.000539,   0.008272, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
1759479239585, 1759479239587,             2,         4265,                   2244,     215.510166,  0.919151,             0.000120,   0.001838, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , NetworkLocationLocator
1759479239587, 1759479239592,             5,         4265,                   2244,     215.510166,  0.919151,             0.000299,   0.004596, com.android.launcher3, True          , True       , False               , True        , False     , False         , False         , False        , *telephony-radio*
