start_time   , end_time     , Duration (mS), Voltage (mV), Remaining_charge (mAh), Intensity (mA), Power (W), Consumed charge(mAh), Energy (J), Top app                              , Screen(ON/OFF), GPS(ON/OFF), Mobile_Radio(ON/OFF), WiFi(ON/OFF), Wifi radio, Camera(ON/OFF), Video (ON/OFF), Audio(ON/OFF), Wakelock_in (Service)
1759135190470, 1759135190472,             2,         4323,                   2592,     148.038490,  0.639970,             0.000082,   0.001280, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , GmsAlarm:CMAlarm
1759135190472, 1759135190473,             1,         4323,                   2592,     148.038490,  0.639970,             0.000041,   0.000640, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , GmsAlarm:CMAlarm
1759135190473, 1759135190480,             7,         4323,                   2592,     148.038490,  0.639970,             0.000288,   0.004480, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , CMWakeLock
1759135190480, 1759135191439,           959,         4323,                   2592,     148.038490,  0.639970,             0.039436,   0.613732, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , screen
1759135191439, 1759135194444,          3005,         4323,                   2592,     148.038490,  0.639970,             0.123571,   1.923111, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , AudioMix
1759135194444, 1759135199999,          5555,         4323,                   2592,     148.038490,  0.639970,             0.228432,   3.555036, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , screen
1759135199999, 1759135200003,             4,         4323,                   2592,     148.038490,  0.639970,             0.000164,   0.002560, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , *alarm*:TIME_TICK
1759135200003, 1759135205172,          5169,         4323,                   2592,     148.038490,  0.639970,             0.212559,   3.308007, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , screen
1759135205172, 1759135205188,            16,         4323,                   2592,     148.038490,  0.639970,             0.000658,   0.010240, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , *job*/com.google.android.apps.turbo/.deadline.library.BatteryFlagService
1759135205188, 1759135205313,           125,         4323,                   2592,     148.038490,  0.639970,             0.005140,   0.079996, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , *job*/com.google.android.apps.turbo/.nudges.broadcasts.BatteryHistoryLoggerJobService
1759135205313, 1759135205323,            10,         4323,                   2592,     148.038490,  0.639970,             0.000411,   0.006400, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , *job*/com.google.android.apps.turbo/.deadline.library.BatteryFlagService
1759135205323, 1759135211729,          6406,         4323,                   2592,     148.038490,  0.639970,             0.263426,   4.099650, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , screen
1759135211729, 1759135260000,         48271,         4246,                   2591,     135.569477,  0.575628,             1.817798,  27.786139, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , screen
1759135260000, 1759135260002,             2,         4246,                   2591,     135.569477,  0.575628,             0.000075,   0.001151, com.google.android.apps.nexuslauncher, True          , False      , False               , True        , True      , False         , False         , False        , *alarm*:TIME_TICK
