start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763728411568,1763728411576,8,4010,3884,157.855965,0.633002,0.000351,0.005064,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728411576,1763728411587,11,4010,3884,157.855965,0.633002,0.000482,0.006963,com.instagram.android,True,False,True,True,False,False,False,False,*job*/com.instagram.android/androidx.work.impl.background.systemjob.SystemJobService
1763728411587,1763728412391,804,4010,3884,157.855965,0.633002,0.035254,0.508934,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728412391,1763728412593,202,4010,3884,157.855965,0.633002,0.008857,0.127866,com.instagram.android,True,False,True,True,False,False,False,False,RILJ_ACK_WL
1763728412593,1763728412801,208,4010,3884,157.855965,0.633002,0.009121,0.131665,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728412801,1763728412807,6,4010,3884,157.855965,0.633002,0.000263,0.003798,com.instagram.android,True,False,True,True,False,False,False,False,*job*/com.android.vending/com.google.android.finsky.scheduler.process.mainimpl.PhoneskyJobServiceMain
1763728412807,1763728412825,18,4010,3884,157.855965,0.633002,0.000789,0.011394,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728412825,1763728412829,4,4010,3884,157.855965,0.633002,0.000175,0.002532,com.instagram.android,True,False,True,True,False,False,False,False,*job*/com.instagram.android/androidx.work.impl.background.systemjob.SystemJobService
1763728412829,1763728413059,230,4010,3884,157.855965,0.633002,0.010085,0.145591,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728413059,1763728413061,2,4010,3884,157.855965,0.633002,8.8e-05,0.001266,com.instagram.android,True,False,True,True,False,False,False,False,*job*/com.instagram.android/androidx.work.impl.background.systemjob.SystemJobService
1763728413061,1763728413095,34,4010,3884,157.855965,0.633002,0.001491,0.021522,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728413095,1763728413097,2,4010,3884,157.855965,0.633002,8.8e-05,0.001266,com.instagram.android,True,False,True,True,False,False,False,False,*job*/com.instagram.android/androidx.work.impl.background.systemjob.SystemJobService
1763728413097,1763728414335,1238,4010,3884,157.855965,0.633002,0.054285,0.783657,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728414335,1763728414457,122,4010,3884,157.855965,0.633002,0.00535,0.077226,com.instagram.android,True,False,True,True,False,False,False,False,*launch*
1763728414457,1763728415391,934,4010,3884,157.855965,0.633002,0.040955,0.591224,com.instagram.android,True,False,True,True,False,False,False,False,ExoPlayer:WakeLockManager
1763728415391,1763728415593,202,4010,3884,157.855965,0.633002,0.008857,0.127866,com.instagram.android,True,False,True,True,False,False,False,False,RILJ_ACK_WL
1763728415593,1763728415746,153,4010,3884,157.855965,0.633002,0.006709,0.096849,com.instagram.android,True,False,True,True,False,False,False,False,ExoPlayer:WakeLockManager
1763728415746,1763728415748,2,4010,3884,157.855965,0.633002,8.8e-05,0.001266,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728415748,1763728415792,44,4010,3884,157.855965,0.633002,0.001929,0.027852,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728415792,1763728415793,1,4010,3884,157.855965,0.633002,4.4e-05,0.000633,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728415793,1763728416262,469,4010,3884,157.855965,0.633002,0.020565,0.296878,com.instagram.android,True,False,True,True,False,False,False,False,ExoPlayer:WakeLockManager
1763728416262,1763728416263,1,4010,3884,157.855965,0.633002,4.4e-05,0.000633,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728416263,1763728416264,1,4010,3884,157.855965,0.633002,4.4e-05,0.000633,com.instagram.android,True,False,True,True,False,False,False,False,ExoPlayer:WakeLockManager
1763728416264,1763728416305,41,4010,3884,157.855965,0.633002,0.001798,0.025953,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728416305,1763728416307,2,4010,3884,157.855965,0.633002,8.8e-05,0.001266,com.instagram.android,True,False,True,True,False,False,False,False,*telephony-radio*
1763728416307,1763728416439,132,4010,3884,157.855965,0.633002,0.005788,0.083556,com.instagram.android,True,False,True,True,False,False,False,False,ExoPlayer:WakeLockManager
1763728416439,1763728416458,19,4010,3884,157.855965,0.633002,0.000833,0.012027,com.instagram.android,True,False,True,True,False,False,False,False,NetworkStats
