start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1766357657620,1766357657621,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357657621,1766357657622,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,
1766357657622,1766357657633,11,3807,2360,1196.808511,4.556250,0.003657,"0,050119",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357657633,1766357657635,2,3807,2360,1196.808511,4.556250,0.000665,"0,009113",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357657635,1766357659297,1662,3807,2360,1196.808511,4.556250,0.552527,"7,572488",com.instagram.android,1,0,1,1,0,0,0,1,
1766357659297,1766357661237,1940,3807,2360,1196.808511,4.556250,0.644947,"8,839125",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357661237,1766357661267,30,3807,2360,1196.808511,4.556250,0.009973,"0,136688",com.instagram.android,1,0,1,1,0,0,0,1,NetworkStats
1766357661267,1766357665682,4415,3807,2360,1196.808511,4.556250,1.467753,"20,115844",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357665682,1766357665684,2,3807,2360,1196.808511,4.556250,0.000665,"0,009113",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357665684,1766357665698,14,3807,2360,1196.808511,4.556250,0.004654,"0,063788",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357665698,1766357665700,2,3807,2360,1196.808511,4.556250,0.000665,"0,009113",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357665700,1766357670713,5013,3807,2360,1196.808511,4.556250,1.666556,"22,840481",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357670713,1766357670714,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357670714,1766357670727,13,3807,2360,1196.808511,4.556250,0.004322,"0,059231",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357670727,1766357670728,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357670728,1766357675743,5015,3807,2360,1196.808511,4.556250,1.667221,"22,849594",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357675743,1766357675746,3,3807,2360,1196.808511,4.556250,0.000997,"0,013669",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357675746,1766357675747,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357675747,1766357675764,17,3807,2360,1196.808511,4.556250,0.005652,"0,077456",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357675764,1766357675765,1,3807,2360,1196.808511,4.556250,0.000332,"0,004556",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
1766357675765,1766357679464,3699,3807,2360,1196.808511,4.556250,1.229721,"16,853569",com.instagram.android,1,0,1,1,0,0,0,1,*telephony-radio*
