start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763723653053,1763723654287,1234,3979,2705,137.822255,"0,548395",0.047242,0.676719,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,screen
1763723654287,1763723654311,24,3979,2705,137.822255,"0,548395",0.000919,0.013161,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654311,1763723654312,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654312,1763723654313,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654313,1763723654316,3,3979,2705,137.822255,"0,548395",0.000115,0.001645,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654316,1763723654317,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654317,1763723654319,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654319,1763723654321,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654321,1763723654323,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654323,1763723654325,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654325,1763723654326,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654326,1763723654330,4,3979,2705,137.822255,"0,548395",0.000153,0.002194,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654330,1763723654331,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654331,1763723654334,3,3979,2705,137.822255,"0,548395",0.000115,0.001645,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654334,1763723654341,7,3979,2705,137.822255,"0,548395",0.000268,0.003839,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654341,1763723654343,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654343,1763723654346,3,3979,2705,137.822255,"0,548395",0.000115,0.001645,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654346,1763723654348,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654348,1763723654349,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654349,1763723654351,2,3979,2705,137.822255,"0,548395",0.000077,0.001097,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654351,1763723654352,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654352,1763723654356,4,3979,2705,137.822255,"0,548395",0.000153,0.002194,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654356,1763723654357,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,*telephony-sem-radio*
1763723654357,1763723654506,149,3979,2705,137.822255,"0,548395",0.005704,0.081711,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,RILJ_ACK_WL
1763723654506,1763723666610,12104,3979,2705,137.822255,"0,548395",0.463389,6.637770,com.sec.android.app.launcher,True,False,False,False,False,False,False,False,screen
1763723666610,1763723666712,102,3979,2705,137.822255,"0,548395",0.003905,0.055936,com.sec.android.app.launcher,True,False,True,False,False,False,False,False,screen
1763723666712,1763723666741,29,3979,2705,137.822255,"0,548395",0.001110,0.015903,com.sec.android.app.launcher,True,False,True,False,False,False,False,False,RILJ_ACK_WL
1763723666741,1763723666742,1,3979,2705,137.822255,"0,548395",0.000038,0.000548,com.sec.android.app.launcher,True,False,True,False,False,False,False,False,*telephony-sem-radio*
1763723666742,1763723666745,3,3979,2705,137.822255,"0,548395",0.000115,0.001645,com.sec.android.app.launcher,True,False,True,False,False,False,False,False,*telephony-sem-radio*
