start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763734935559,1763734935560,1,3920,2400,300.958050,1.179756,0.000084,"0,00118",com.sec.android.app.launcher,1,0,0,1,1,0,0,0,*launch*
1763734935560,1763734935587,27,3920,2400,300.958050,1.179756,0.002257,"0,031853",,1,0,0,1,1,0,0,0,*launch*
1763734935587,1763734937182,1595,3920,2400,300.958050,1.179756,0.133341,"1,88171",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*launch*
1763734937182,1763734937747,565,3920,2400,300.958050,1.179756,0.047234,"0,666562",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,
1763734937747,1763734937748,1,3920,2400,300.958050,1.179756,0.000084,"0,00118",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*launch*
1763734937748,1763734937750,2,3920,2400,300.958050,1.179756,0.000167,"0,00236",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*launch*
1763734937750,1763734939268,1518,3920,2400,300.958050,1.179756,0.126904,"1,790869",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*launch*
1763734939268,1763734941396,2128,3920,2400,300.958050,1.179756,0.177900,"2,51052",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734941396,1763734941421,25,3920,2400,300.958050,1.179756,0.002090,"0,029494",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734941421,1763734942120,699,3920,2400,300.958050,1.179756,0.058436,"0,824649",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734942120,1763734942167,47,3920,2400,300.958050,1.179756,0.003929,"0,055449",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734942167,1763734944428,2261,3920,2400,300.958050,1.179756,0.189018,"2,667427",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734944428,1763734946290,1862,3920,2400,300.958050,1.179756,0.155662,"2,196705",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734946290,1763734947719,1429,3920,2400,300.958050,1.179756,0.119464,"1,685871",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734947719,1763734947748,29,3920,2400,300.958050,1.179756,0.002424,"0,034213",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734947748,1763734947813,65,3920,2400,300.958050,1.179756,0.005434,"0,076684",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734947813,1763734949210,1397,3830,2400,300.958050,1.152669,0.116788,"1,610279",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734949210,1763734949292,82,3830,2400,300.958050,1.152669,0.006855,"0,094519",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734949292,1763734949736,444,3830,2400,300.958050,1.152669,0.037118,"0,511785",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734949736,1763734951324,1588,3830,2400,300.958050,1.152669,0.132756,"1,830439",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734951324,1763734951384,60,3830,2400,300.958050,1.152669,0.005016,"0,06916",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734951384,1763734951452,68,3830,2400,300.958050,1.152669,0.005685,"0,078382",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734951452,1763734952066,614,3830,2400,300.958050,1.152669,0.051330,"0,707739",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734952066,1763734953351,1285,3830,2400,300.958050,1.152669,0.107425,"1,48118",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734953351,1763734954325,974,3830,2400,300.958050,1.152669,0.081426,"1,1227",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734954325,1763734954704,379,3830,2400,300.958050,1.152669,0.031684,"0,436862",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734954704,1763734954770,66,3830,2400,300.958050,1.152669,0.005518,"0,076076",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734954770,1763734954771,1,3830,2400,300.958050,1.152669,0.000084,"0,001153",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,*telephony-radio*
1763734954771,1763734954783,12,3830,2400,300.958050,1.152669,0.001003,"0,013832",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,*telephony-radio*
1763734954783,1763734955236,453,3830,2400,300.958050,1.152669,0.037871,"0,522159",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734955236,1763734955290,54,3830,2400,300.958050,1.152669,0.004514,"0,062244",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734955290,1763734955601,311,3830,2400,300.958050,1.152669,0.025999,"0,35848",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734955601,1763734957706,2105,3830,2400,300.958050,1.152669,0.175977,"2,426369",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734957706,1763734957798,92,3830,2400,300.958050,1.152669,0.007691,"0,106046",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734957798,1763734957833,35,3830,2400,300.958050,1.152669,0.002926,"0,040343",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,NetworkStats
1763734957833,1763734958858,1025,3830,2400,300.958050,1.152669,0.085689,"1,181486",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734958858,1763734958859,1,3830,2400,300.958050,1.152669,0.000084,"0,001153",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,screen
1763734958859,1763734959759,900,3830,2400,300.958050,1.152669,0.075240,"1,037402",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,AudioMix
1763734959759,1763734959809,50,3830,2400,300.958050,1.152669,0.004180,"0,057633",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*vibrator*
1763734959809,1763734959848,39,3830,2400,300.958050,1.152669,0.003260,"0,044954",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,AudioMix
1763734959848,1763734959859,11,3830,2400,300.958050,1.152669,0.000920,"0,012679",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*job*/com.linkedin.android/androidx.work.impl.background.systemjob.SystemJobService#-2147483059
1763734959859,1763734959860,1,3830,2400,300.958050,1.152669,0.000084,"0,001153",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,AudioMix
1763734959860,1763734959867,7,3830,2400,300.958050,1.152669,0.000585,"0,008069",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,*job*/com.linkedin.android/androidx.work.impl.background.systemjob.SystemJobService#-2147483092
1763734959867,1763734959930,63,3830,2400,300.958050,1.152669,0.005267,"0,072618",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,AudioMix
1763734959930,1763734959953,23,3830,2400,300.958050,1.152669,0.001923,"0,026511",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,AudioMix
1763734959953,1763734959960,7,3830,2400,300.958050,1.152669,0.000585,"0,008069",com.zhiliaoapp.musically,1,0,0,1,1,0,0,0,
1763734959960,1763734961134,1174,3830,2400,300.958050,1.152669,0.098146,"1,353234",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734961134,1763734961139,5,3830,2400,300.958050,1.152669,0.000418,"0,005763",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*job*/com.linkedin.android/.notifications.push.RegistrationJobIntentServiceImpl#-1173897311
1763734961139,1763734961344,205,3830,2400,300.958050,1.152669,0.017138,"0,236297",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734961344,1763734961346,2,3830,2400,300.958050,1.152669,0.000167,"0,002305",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*job*/com.linkedin.android/androidx.work.impl.background.systemjob.SystemJobService#-2147483058
1763734961346,1763734962741,1395,3830,2400,300.958050,1.152669,0.116621,"1,607974",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734962741,1763734962933,192,3830,2400,300.958050,1.152669,0.016051,"0,221313",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734962933,1763734963378,445,3830,2400,300.958050,1.152669,0.037202,"0,512938",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734963378,1763734963438,60,3830,2400,300.958050,1.152669,0.005016,"0,06916",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734963438,1763734963668,230,3830,2400,300.958050,1.152669,0.019228,"0,265114",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734963668,1763734964658,990,3830,2400,300.958050,1.152669,0.082763,"1,141143",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734964658,1763734966671,2013,3830,2400,300.958050,1.152669,0.168286,"2,320323",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734966671,1763734966709,38,3830,2400,300.958050,1.152669,0.003177,"0,043801",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734966709,1763734966745,36,3830,2400,300.958050,1.152669,0.003010,"0,041496",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,NetworkStats
1763734966745,1763734966792,47,3830,2400,300.958050,1.152669,0.003929,"0,054175",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734966792,1763734969773,2981,3830,2400,300.958050,1.152669,0.249210,"3,436107",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734969773,1763734969794,21,3830,2400,300.958050,1.152669,0.001756,"0,024206",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734969794,1763734969867,73,3830,2400,300.958050,1.152669,0.006103,"0,084145",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,NetworkStats
1763734969867,1763734977887,8020,3830,2400,300.958050,1.152669,0.670468,"9,244408",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734977887,1763734980230,2343,3863,2395,1197.564951,4.626193,0.779415,"10,839171",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734980230,1763734980234,4,3863,2395,1197.564951,4.626193,0.001331,"0,018505",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*alarm*:TIME_TICK
1763734980234,1763734983389,3155,3863,2395,1197.564951,4.626193,1.049533,"14,59564",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734983389,1763734983737,348,3863,2395,1197.564951,4.626193,0.115765,"1,609915",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734983737,1763734984542,805,3863,2395,1197.564951,4.626193,0.267789,"3,724086",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734984542,1763734984546,4,3863,2395,1197.564951,4.626193,0.001331,"0,018505",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,*alarm*:*job.delay*
1763734984546,1763734984548,2,3863,2395,1197.564951,4.626193,0.000665,"0,009252",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734984548,1763734984557,9,3863,2395,1197.564951,4.626193,0.002994,"0,041636",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,*job*/com.facebook.katana/com.facebook.feed.platformads.AppInstallTrackerService#2131366264
1763734984557,1763734986395,1838,3863,2395,1197.564951,4.626193,0.611423,"8,502943",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734986395,1763734986785,390,3863,2395,1197.564951,4.626193,0.129736,"1,804215",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734986785,1763734986816,31,3863,2395,1197.564951,4.626193,0.010312,"0,143412",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734986816,1763734994070,7254,3863,2395,1197.564951,4.626193,2.413093,"33,558407",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,AudioMix
1763734994070,1763734996141,2071,3863,2395,1197.564951,4.626193,0.688933,"9,580847",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734996141,1763734996175,34,3863,2395,1197.564951,4.626193,0.011310,"0,157291",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,NetworkStats
1763734996175,1763734996205,30,3863,2395,1197.564951,4.626193,0.009980,"0,138786",com.zhiliaoapp.musically,1,0,0,1,1,0,1,1,
1763734996205,1763734997072,867,3863,2395,1197.564951,4.626193,0.288414,"4,01091",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,
1763734997072,1763734997274,202,3863,2395,1197.564951,4.626193,0.067197,"0,934491",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734997274,1763734997275,1,3863,2395,1197.564951,4.626193,0.000333,"0,004626",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*telephony-radio*
1763734997275,1763734997355,80,3863,2395,1197.564951,4.626193,0.026613,"0,370095",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*telephony-radio*
1763734997355,1763734997356,1,3863,2395,1197.564951,4.626193,0.000333,"0,004626",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,*telephony-radio*
1763734997356,1763734997359,3,3863,2395,1197.564951,4.626193,0.000998,"0,013879",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,AudioMix
1763734997359,1763734997387,28,3863,2395,1197.564951,4.626193,0.009314,"0,129533",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,RILJ_ACK_WL
1763734997387,1763734997412,25,3863,2395,1197.564951,4.626193,0.008316,"0,115655",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,NetworkStats
1763734997412,1763734997502,90,3863,2395,1197.564951,4.626193,0.029939,"0,416357",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,RILJ_ACK_WL
1763734997502,1763734997515,13,3863,2395,1197.564951,4.626193,0.004325,"0,060141",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,NetworkStats
1763734997515,1763734997565,50,3863,2395,1197.564951,4.626193,0.016633,"0,23131",com.zhiliaoapp.musically,1,0,0,1,1,0,0,1,RILJ_ACK_WL
