start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763723252514,1763723252889,375,4119,3434,307.774319,1.267722,0.032060,0.475396,tv.twitch.android.app,True,False,False,True,True,False,True,True,
1763723252889,1763723252913,24,4119,3434,307.774319,1.267722,0.002052,0.030425,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723252913,1763723254519,1606,4119,3434,307.774319,1.267722,0.137302,2.035962,tv.twitch.android.app,True,False,False,True,True,False,True,True,
1763723254519,1763723260234,5715,4119,3434,307.774319,1.267722,0.488592,7.245034,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723260234,1763723260255,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723260255,1763723267339,7084,4119,3434,307.774319,1.267722,0.605631,8.980546,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723267339,1763723267358,19,4119,3434,307.774319,1.267722,0.001624,0.024087,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723267358,1763723274293,6935,4119,3434,307.774319,1.267722,0.592893,8.791655,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723274293,1763723274315,22,4119,3434,307.774319,1.267722,0.001881,0.027890,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723274315,1763723280053,5738,4119,3434,307.774319,1.267722,0.490558,7.274191,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723280053,1763723280055,2,4119,3434,307.774319,1.267722,0.000171,0.002535,tv.twitch.android.app,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763723280055,1763723281278,1223,4119,3434,307.774319,1.267722,0.104558,1.550425,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723281278,1763723281298,20,4119,3434,307.774319,1.267722,0.001710,0.025354,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723281298,1763723287840,6542,4119,3434,307.774319,1.267722,0.559294,8.293440,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723287840,1763723287860,20,4119,3434,307.774319,1.267722,0.001710,0.025354,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723287860,1763723294889,7029,4119,3434,307.774319,1.267722,0.600929,8.910821,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723294889,1763723294908,19,4119,3434,307.774319,1.267722,0.001624,0.024087,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723294908,1763723302211,7303,4119,3434,307.774319,1.267722,0.624354,9.258177,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723302211,1763723302230,19,4119,3434,307.774319,1.267722,0.001624,0.024087,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723302230,1763723309314,7084,4119,3434,307.774319,1.267722,0.605631,8.980546,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723309314,1763723309335,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723309335,1763723316844,7509,4119,3434,307.774319,1.267722,0.641966,9.519328,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723316844,1763723316867,23,4119,3434,307.774319,1.267722,0.001966,0.029158,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723316867,1763723323687,6820,4119,3434,307.774319,1.267722,0.583061,8.645867,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723323687,1763723323710,23,4119,3434,307.774319,1.267722,0.001966,0.029158,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723323710,1763723330938,7228,4119,3434,307.774319,1.267722,0.617942,9.163098,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723330938,1763723330956,18,4119,3434,307.774319,1.267722,0.001539,0.022819,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723330956,1763723338203,7247,4119,3434,307.774319,1.267722,0.619567,9.187184,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723338203,1763723338221,18,4119,3434,307.774319,1.267722,0.001539,0.022819,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723338221,1763723340055,1834,4119,3434,307.774319,1.267722,0.156794,2.325003,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723340055,1763723340058,3,4119,3434,307.774319,1.267722,0.000256,0.003803,tv.twitch.android.app,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763723340058,1763723344305,4247,4119,3434,307.774319,1.267722,0.363088,5.384017,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723344305,1763723344330,25,4119,3434,307.774319,1.267722,0.002137,0.031693,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723344330,1763723351368,7038,4119,3434,307.774319,1.267722,0.601699,8.922230,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723351368,1763723351391,23,4119,3434,307.774319,1.267722,0.001966,0.029158,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723351391,1763723358518,7127,4119,3434,307.774319,1.267722,0.609308,9.035058,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723358518,1763723358539,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723358539,1763723365352,6813,4119,3434,307.774319,1.267722,0.582463,8.636993,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723365352,1763723365373,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723365373,1763723372208,6835,4119,3434,307.774319,1.267722,0.584344,8.664883,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723372208,1763723372222,14,4119,3434,307.774319,1.267722,0.001197,0.017748,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723372222,1763723378612,6390,4119,3434,307.774319,1.267722,0.546299,8.100746,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723378612,1763723378634,22,4119,3434,307.774319,1.267722,0.001881,0.027890,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723378634,1763723385493,6859,4119,3434,307.774319,1.267722,0.586396,8.695308,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723385493,1763723385509,16,4119,3434,307.774319,1.267722,0.001368,0.020284,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723385509,1763723392265,6756,4119,3434,307.774319,1.267722,0.577590,8.564733,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723392265,1763723392290,25,4119,3434,307.774319,1.267722,0.002137,0.031693,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723392290,1763723398849,6559,4119,3434,307.774319,1.267722,0.560748,8.314991,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723398849,1763723398867,18,4119,3434,307.774319,1.267722,0.001539,0.022819,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723398867,1763723400054,1187,4119,3434,307.774319,1.267722,0.101480,1.504787,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723400054,1763723400059,5,4119,3434,307.774319,1.267722,0.000427,0.006339,tv.twitch.android.app,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763723400059,1763723405651,5592,4119,3434,307.774319,1.267722,0.478076,7.089104,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723405651,1763723405674,23,4119,3434,307.774319,1.267722,0.001966,0.029158,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723405674,1763723412318,6644,4119,3434,307.774319,1.267722,0.568015,8.422748,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723412318,1763723412339,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723412339,1763723419183,6844,4119,3434,307.774319,1.267722,0.585113,8.676292,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723419183,1763723419204,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723419204,1763723419770,566,4119,3434,307.774319,1.267722,0.048389,0.717531,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723419770,1763723419774,4,4119,3434,307.774319,1.267722,0.000342,0.005071,tv.twitch.android.app,True,False,False,True,True,False,True,True,*walarm*:DhcpClient.wlan0.RENEW
1763723419774,1763723425432,5658,4119,3434,307.774319,1.267722,0.483719,7.172773,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723425432,1763723425453,21,4119,3434,307.774319,1.267722,0.001795,0.026622,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723425453,1763723432284,6831,4119,3434,307.774319,1.267722,0.584002,8.659812,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723432284,1763723432304,20,4119,3434,307.774319,1.267722,0.001710,0.025354,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723432304,1763723439036,6732,4119,3434,307.774319,1.267722,0.575538,8.534307,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723439036,1763723439060,24,4119,3434,307.774319,1.267722,0.002052,0.030425,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723439060,1763723441158,2098,4119,3434,307.774319,1.267722,0.179364,2.659682,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723441158,1763723445324,4166,4128,3417,268.258333,1.107370,0.310435,4.613305,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723445324,1763723445348,24,4128,3417,268.258333,1.107370,0.001788,0.026577,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723445348,1763723450368,5020,4128,3417,268.258333,1.107370,0.374071,5.558999,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723450368,1763723450370,2,4128,3417,268.258333,1.107370,0.000149,0.002215,tv.twitch.android.app,True,False,False,True,True,False,True,True,*walarm*:FusedLocation:expire
1763723450370,1763723452220,1850,4128,3417,268.258333,1.107370,0.137855,2.048635,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723452220,1763723452242,22,4128,3417,268.258333,1.107370,0.001639,0.024362,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723452242,1763723458637,6395,4128,3417,268.258333,1.107370,0.476531,7.081634,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723458637,1763723458660,23,4128,3417,268.258333,1.107370,0.001714,0.025470,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723458660,1763723460054,1394,4128,3417,268.258333,1.107370,0.103876,1.543674,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723460054,1763723460057,3,4128,3417,268.258333,1.107370,0.000224,0.003322,tv.twitch.android.app,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763723460057,1763723465895,5838,4128,3417,268.258333,1.107370,0.435026,6.464828,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723465895,1763723465917,22,4128,3417,268.258333,1.107370,0.001639,0.024362,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723465917,1763723472695,6778,4128,3417,268.258333,1.107370,0.505071,7.505757,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723472695,1763723472714,19,4128,3417,268.258333,1.107370,0.001416,0.021040,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723472714,1763723478375,5661,4128,3417,268.258333,1.107370,0.421836,6.268824,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723478375,1763723478399,24,4128,3417,268.258333,1.107370,0.001788,0.026577,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723478399,1763723484471,6072,4128,3417,268.258333,1.107370,0.452462,6.723953,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723484471,1763723484494,23,4128,3417,268.258333,1.107370,0.001714,0.025470,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723484494,1763723490554,6060,4128,3417,268.258333,1.107370,0.451568,6.710665,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723490554,1763723490573,19,4128,3417,268.258333,1.107370,0.001416,0.021040,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723490573,1763723496629,6056,4128,3417,268.258333,1.107370,0.451270,6.706235,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723496629,1763723496651,22,4128,3417,268.258333,1.107370,0.001639,0.024362,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723496651,1763723502640,5989,4128,3417,268.258333,1.107370,0.446278,6.632041,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723502640,1763723502657,17,4128,3417,268.258333,1.107370,0.001267,0.018825,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723502657,1763723508318,5661,4128,3417,268.258333,1.107370,0.421836,6.268824,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723508318,1763723508336,18,4128,3417,268.258333,1.107370,0.001341,0.019933,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723508336,1763723514280,5944,4128,3417,268.258333,1.107370,0.442924,6.582210,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723514280,1763723514300,20,4128,3417,268.258333,1.107370,0.001490,0.022147,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723514300,1763723520054,5754,4128,3417,268.258333,1.107370,0.428766,6.371809,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723520054,1763723520058,4,4128,3417,268.258333,1.107370,0.000298,0.004429,tv.twitch.android.app,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763723520058,1763723520359,301,4128,3417,268.258333,1.107370,0.022429,0.333318,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723520359,1763723520382,23,4128,3417,268.258333,1.107370,0.001714,0.025470,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723520382,1763723526383,6001,4128,3417,268.258333,1.107370,0.447172,6.645330,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723526383,1763723526405,22,4128,3417,268.258333,1.107370,0.001639,0.024362,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
1763723526405,1763723532312,5907,4128,3417,268.258333,1.107370,0.440167,6.541237,tv.twitch.android.app,True,False,False,True,True,False,True,True,AudioMix
1763723532312,1763723532331,19,4128,3417,268.258333,1.107370,0.001416,0.021040,tv.twitch.android.app,True,False,False,True,True,False,True,True,NetworkStats
