start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763725067182,1763725068712,1530,4084,3281,386.419376,1.578137,0.164228,2.414549,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725068712,1763725068727,15,4084,3281,386.419376,1.578137,0.001610,0.023672,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725068727,1763725074280,5553,4084,3281,386.419376,1.578137,0.596052,8.763393,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725074280,1763725074302,22,4084,3281,386.419376,1.578137,0.002361,0.034719,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725074302,1763725079524,5222,4084,3281,386.419376,1.578137,0.560523,8.241030,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725079524,1763725079542,18,4084,3281,386.419376,1.578137,0.001932,0.028406,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725079542,1763725080027,485,4084,3281,386.419376,1.578137,0.052059,0.765396,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725080027,1763725080028,1,4084,3281,386.419376,1.578137,0.000107,0.001578,com.kick.mobile,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763725080028,1763725084902,4874,4084,3281,386.419376,1.578137,0.523169,7.691838,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725084902,1763725084919,17,4084,3281,386.419376,1.578137,0.001825,0.026828,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725084919,1763725087622,2703,4084,3281,386.419376,1.578137,0.290137,4.265704,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725087622,1763725087630,8,4084,3281,386.419376,1.578137,0.000859,0.012625,com.kick.mobile,True,False,False,True,True,False,True,True,*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE
1763725087630,1763725090263,2633,4084,3281,386.419376,1.578137,0.282623,4.155234,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725090263,1763725090283,20,4084,3281,386.419376,1.578137,0.002147,0.031563,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725090283,1763725095552,5269,4084,3281,386.419376,1.578137,0.565568,8.315202,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725095552,1763725095573,21,4084,3281,386.419376,1.578137,0.002254,0.033141,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725095573,1763725100996,5423,4084,3281,386.419376,1.578137,0.582098,8.558235,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725100996,1763725101018,22,4084,3281,386.419376,1.578137,0.002361,0.034719,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725101018,1763725106463,5445,4084,3281,386.419376,1.578137,0.584459,8.592954,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725106463,1763725106484,21,4084,3281,386.419376,1.578137,0.002254,0.033141,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725106484,1763725111772,5288,4084,3281,386.419376,1.578137,0.567607,8.345187,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725111772,1763725111793,21,4084,3281,386.419376,1.578137,0.002254,0.033141,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725111793,1763725117216,5423,4084,3281,386.419376,1.578137,0.582098,8.558235,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725117216,1763725117238,22,4084,3281,386.419376,1.578137,0.002361,0.034719,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725117238,1763725122624,5386,4084,3281,386.419376,1.578137,0.578126,8.499844,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725122624,1763725122642,18,4084,3281,386.419376,1.578137,0.001932,0.028406,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725122642,1763725128216,5574,4084,3281,386.419376,1.578137,0.598306,8.796534,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725128216,1763725128236,20,4084,3281,386.419376,1.578137,0.002147,0.031563,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725128236,1763725133610,5374,4084,3281,386.419376,1.578137,0.576838,8.480907,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725133610,1763725133634,24,4084,3281,386.419376,1.578137,0.002576,0.037875,com.kick.mobile,True,False,False,True,True,False,True,True,NetworkStats
1763725133634,1763725136445,2811,4084,3281,386.419376,1.578137,0.301729,4.436142,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725136445,1763725136449,4,4084,3281,386.419376,1.578137,0.000429,0.006313,com.kick.mobile,True,False,False,True,True,False,True,True,*alarm*:*job.delay*
1763725136449,1763725136452,3,4084,3281,386.419376,1.578137,0.000322,0.004734,com.kick.mobile,True,False,False,True,True,False,True,True,AudioMix
1763725136452,1763725136461,9,4084,3281,386.419376,1.578137,0.000966,0.014203,com.kick.mobile,True,False,False,True,True,False,True,True,*job*/XXX@com.google.android.apps.messaging/androidx.work.impl.background.systemjob.SystemJobService
