start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763727148461,1763727148464,3,4097,3150,223.474785,0.915576,0.000186,0.002747,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727148464,1763727148475,11,4097,3150,223.474785,0.915576,0.000683,0.010071,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727148475,1763727148476,1,4097,3150,223.474785,0.915576,0.000062,0.000916,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727148476,1763727148477,1,4097,3150,223.474785,0.915576,0.000062,0.000916,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727148477,1763727160258,11781,4097,3150,223.474785,0.915576,0.731321,10.786403,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727160258,1763727160274,16,4097,3150,223.474785,0.915576,0.000993,0.014649,com.google.android.youtube,True,False,False,True,True,False,True,True,*walarm*:com.android.server.audio.action.CHECK_MUSIC_ACTIVE
1763727160274,1763727164398,4124,4097,3150,223.474785,0.915576,0.256003,3.775836,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727164398,1763727167880,3482,4044,3145,427.213202,1.727650,0.413210,6.015678,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727167880,1763727167900,20,4044,3145,427.213202,1.727650,0.002373,0.034553,com.google.android.youtube,True,False,False,True,True,False,True,True,NetworkStats
1763727167900,1763727180054,12154,4044,3145,427.213202,1.727650,1.442319,20.997860,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727180054,1763727180057,3,4044,3145,427.213202,1.727650,0.000356,0.005183,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763727180057,1763727180559,502,4044,3145,427.213202,1.727650,0.059573,0.867280,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727180559,1763727180567,8,4044,3145,427.213202,1.727650,0.000949,0.013821,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:*CountQuotaTracker.cleanup*
1763727180567,1763727218351,37784,4044,3145,427.213202,1.727650,4.483840,65.277535,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727218351,1763727218363,12,4044,3145,427.213202,1.727650,0.001424,0.020732,com.google.android.youtube,True,False,False,True,True,False,True,True,NetworkStats
1763727218363,1763727240054,21691,4044,3145,427.213202,1.727650,2.574078,37.474460,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727240054,1763727240056,2,4044,3145,427.213202,1.727650,0.000237,0.003455,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763727240056,1763727242019,1963,4044,3145,427.213202,1.727650,0.232950,3.391377,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727242019,1763727242020,1,4044,3145,427.213202,1.727650,0.000119,0.001728,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:*job.flexibility_check*
1763727242020,1763727267930,25910,4044,3145,427.213202,1.727650,3.074748,44.763416,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727267930,1763727267952,22,4044,3145,427.213202,1.727650,0.002611,0.038008,com.google.android.youtube,True,False,False,True,True,False,True,True,NetworkStats
1763727267952,1763727276044,8092,4044,3145,427.213202,1.727650,0.960280,13.980145,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727276044,1763727276046,2,4044,3145,427.213202,1.727650,0.000237,0.003455,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727276046,1763727276057,11,4044,3145,427.213202,1.727650,0.001305,0.019004,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727276057,1763727276058,1,4044,3145,427.213202,1.727650,0.000119,0.001728,com.google.android.youtube,True,False,False,True,True,False,True,True,*telephony-radio*
1763727276058,1763727300054,23996,4044,3145,427.213202,1.727650,2.847613,41.456694,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727300054,1763727300056,2,4044,3145,427.213202,1.727650,0.000237,0.003455,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:TIME_TICK
1763727300056,1763727302020,1964,4044,3145,427.213202,1.727650,0.233069,3.393105,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727302020,1763727302021,1,4044,3145,427.213202,1.727650,0.000119,0.001728,com.google.android.youtube,True,False,False,True,True,False,True,True,*alarm*:*job.flexibility_check*
1763727302021,1763727315443,13422,4044,3145,427.213202,1.727650,1.592793,23.188521,com.google.android.youtube,True,False,False,True,True,False,True,True,AudioMix
1763727315443,1763727315450,7,4044,3145,427.213202,1.727650,0.000831,0.012094,com.google.android.youtube,True,False,False,True,True,False,True,True,*job*/android/com.android.server.notification.NotificationHistoryJobService
