start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763728716350,1763728716352,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,True,False,False,False,*alarm*:com.google.android.gms.auth.authzen.cryptauth.DEVICE_STATE_CHECK_DELAY_COMPLETE
1763728716352,1763728719683,3331,4037,3069,90.694664,0.366134,0.083918,1.219594,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728719683,1763728719954,271,4037,3069,90.694664,0.366134,0.006827,0.099222,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728719954,1763728719956,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:*job.flexibility_check*
1763728719956,1763728740057,20101,4037,3069,90.694664,0.366134,0.506404,7.359667,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728740057,1763728740059,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:TIME_TICK
1763728740059,1763728748596,8537,4037,3069,90.694664,0.366134,0.215072,3.125689,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728748596,1763728763716,15120,4037,3069,90.694664,0.366134,0.380918,5.535952,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728763716,1763728779959,16243,4037,3069,90.694664,0.366134,0.409209,5.947120,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728779959,1763728779961,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:*job.flexibility_check*
1763728779961,1763728800055,20094,4037,3069,90.694664,0.366134,0.506227,7.357104,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728800055,1763728800056,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:TIME_TICK
1763728800056,1763728816192,16136,4037,3069,90.694664,0.366134,0.406514,5.907944,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728816192,1763728816198,6,4037,3069,90.694664,0.366134,0.000151,0.002197,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728816198,1763728816201,3,4037,3069,90.694664,0.366134,0.000076,0.001098,com.android.launcher3,True,False,False,True,True,False,False,False,GCM_READ
1763728816201,1763728816202,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,True,False,False,False,GCM_READ
1763728816202,1763728816213,11,4037,3069,90.694664,0.366134,0.000277,0.004027,com.android.launcher3,True,False,False,True,True,False,False,False,GCM_WORK
1763728816213,1763728820794,4581,4037,3069,90.694664,0.366134,0.115409,1.677262,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728820794,1763728820797,3,4037,3069,90.694664,0.366134,0.000076,0.001098,com.android.launcher3,True,False,False,True,True,False,False,False,*walarm*:DhcpClient.wlan0.RENEW
1763728820797,1763728821807,1010,4037,3069,90.694664,0.366134,0.025445,0.369796,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728821807,1763728821811,4,4037,3069,90.694664,0.366134,0.000101,0.001465,com.android.launcher3,True,False,False,True,True,False,False,False,*walarm*:DhcpClient.wlan0.KICK
1763728821811,1763728836930,15119,4037,3069,90.694664,0.366134,0.380892,5.535585,com.android.launcher3,True,False,False,True,True,False,False,False,screen
1763728836930,1763728852368,15438,4037,3069,90.694664,0.366134,0.388929,5.652382,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728852368,1763728852370,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*walarm*:FusedLocation:expire
1763728852370,1763728860057,7687,4037,3069,90.694664,0.366134,0.193658,2.814475,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728860057,1763728860059,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:TIME_TICK
1763728860059,1763728920052,59993,4037,3069,90.694664,0.366134,1.511401,21.965499,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728920052,1763728920053,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:TIME_TICK
1763728920053,1763728980052,59999,4037,3069,90.694664,0.366134,1.511553,21.967695,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728980052,1763728980053,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,False,False,False,False,*alarm*:TIME_TICK
1763728980053,1763728987774,7721,4037,3069,90.694664,0.366134,0.194515,2.826923,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728987774,1763728987776,2,4037,3069,90.694664,0.366134,0.000050,0.000732,com.android.launcher3,True,False,False,True,False,False,False,False,*telephony-radio*
1763728987776,1763728987777,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,False,False,False,False,screen
1763728987777,1763728987785,8,4037,3069,90.694664,0.366134,0.000202,0.002929,com.android.launcher3,True,False,False,True,False,False,False,False,*telephony-radio*
1763728987785,1763728987786,1,4037,3069,90.694664,0.366134,0.000025,0.000366,com.android.launcher3,True,False,False,True,False,False,False,False,*telephony-radio*
