start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763724664531,1763724665446,915,3947,2302,343.866911,1.357243,0.087400,1.241877,com.android.systemui,True,False,False,True,True,False,False,True,screen
1763724665446,1763724665451,5,3947,2302,343.866911,1.357243,0.000478,0.006786,com.android.systemui,True,False,False,True,True,False,False,True,*launch*
1763724665451,1763724666029,578,3947,2302,343.866911,1.357243,0.055210,0.784486,com.sec.android.app.launcher,True,False,False,True,True,False,False,True,*launch*
1763724666029,1763724666055,26,3947,2302,343.866911,1.357243,0.002483,0.035288,com.sec.android.app.launcher,True,False,False,True,True,False,False,True,*launch*
1763724666055,1763724666147,92,3947,2302,343.866911,1.357243,0.008788,0.124866,tv.twitch.android.app,True,False,False,True,True,False,False,True,*launch*
1763724666147,1763724667160,1013,3947,2302,343.866911,1.357243,0.096760,1.374887,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724667160,1763724667161,1,3947,2302,343.866911,1.357243,0.000096,0.001357,tv.twitch.android.app,True,False,False,True,True,False,False,True,*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION
1763724667161,1763724667166,5,3947,2302,343.866911,1.357243,0.000478,0.006786,tv.twitch.android.app,True,False,False,True,True,False,False,True,*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION
1763724667166,1763724667179,13,3947,2302,343.866911,1.357243,0.001242,0.017644,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667179,1763724667188,9,3947,2302,343.866911,1.357243,0.000860,0.012215,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667188,1763724667189,1,3947,2302,343.866911,1.357243,0.000096,0.001357,tv.twitch.android.app,True,False,False,True,True,False,False,True,*alarm*
1763724667189,1763724667211,22,3947,2302,343.866911,1.357243,0.002101,0.029859,tv.twitch.android.app,True,False,False,True,True,False,False,True,CollectionLib-SigCollector
1763724667211,1763724667214,3,3947,2302,343.866911,1.357243,0.000287,0.004072,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724667214,1763724667313,99,3947,2302,343.866911,1.357243,0.009456,0.134367,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667313,1763724667327,14,3947,2302,343.866911,1.357243,0.001337,0.019001,tv.twitch.android.app,True,False,False,True,True,False,False,True,PendingIntentClient
1763724667327,1763724667329,2,3947,2302,343.866911,1.357243,0.000191,0.002714,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667329,1763724667334,5,3947,2302,343.866911,1.357243,0.000478,0.006786,tv.twitch.android.app,True,False,False,True,True,False,False,True,PendingIntentClient
1763724667334,1763724667339,5,3947,2302,343.866911,1.357243,0.000478,0.006786,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667339,1763724667344,5,3947,2302,343.866911,1.357243,0.000478,0.006786,tv.twitch.android.app,True,False,False,True,True,False,False,True,PendingIntentClient
1763724667344,1763724667347,3,3947,2302,343.866911,1.357243,0.000287,0.004072,tv.twitch.android.app,True,False,False,True,True,False,False,True,CallbackRunner
1763724667347,1763724669004,1657,3947,2302,343.866911,1.357243,0.158274,2.248951,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724669004,1763724672590,3586,3947,2302,343.866911,1.357243,0.342530,4.867072,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724672590,1763724690091,17501,3849,2302,343.866911,1.323544,1.671671,23.163339,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724690091,1763724690188,97,3849,2302,343.866911,1.323544,0.009265,0.128384,tv.twitch.android.app,True,False,False,True,True,False,False,True,NetworkStats
1763724690188,1763724690212,24,3849,2302,343.866911,1.323544,0.002292,0.031765,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
1763724690212,1763724690278,66,3849,2302,343.866911,1.323544,0.006304,0.087354,tv.twitch.android.app,True,False,False,True,True,False,False,True,NetworkStats
1763724690278,1763724692911,2633,3849,2302,343.866911,1.323544,0.251500,3.484891,tv.twitch.android.app,True,False,False,True,True,False,False,True,screen
