start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763718519221,1763718549395,30174,3961,2628,335.805233,1.330125,2.814608,40.135178,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718549395,1763718579565,30170,4007,2622,357.971495,1.434392,3.000000,43.275600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718579565,1763718609756,30191,3973,2619,357.722500,1.421231,3.000000,42.908400,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718609756,1763718639935,30179,4016,2616,357.864740,1.437185,3.000000,43.372800,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718639935,1763718670116,30181,3992,2613,715.682052,2.857003,6.000000,86.227200,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718670116,1763718730472,60356,3992,2607,119.292200,0.476214,2.000000,28.742400,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718730472,1763718760666,30194,3992,2605,715.373915,2.855773,6.000000,86.227200,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718760666,1763718790832,30166,3992,2599,358.018962,1.429212,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718790832,1763718851184,60352,3992,2596,178.950159,0.714369,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718851184,1763718881352,30168,3992,2593,357.995227,1.429117,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718881352,1763718911543,30191,3992,2590,357.722500,1.428028,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718911543,1763718941726,30183,3992,2587,357.817314,1.428407,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718941726,1763718971899,30173,3992,2584,357.935903,1.428880,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763718971899,1763719002080,30181,3992,2581,357.841026,1.428501,3.000000,43.113600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763719002080,1763719032204,30124,3971,2578,358.518125,1.423675,3.000000,42.886800,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763719032204,1763719062370,30166,3835,2575,358.018962,1.373003,3.000000,41.418000,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763719062370,1763719092507,30137,3981,2572,716.726947,2.853290,6.000000,85.989600,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
1763719092507,1763719117950,25443,3981,2566,301.625426,1.200771,2.131738,30.551212,com.sec.android.app.launcher,True,False,False,True,True,False,False,False,
