start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763720223408,1763720223416,8,4240,2634,458.243986,1.942954,0.001018,0.015544,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223416,1763720223425,9,4240,2634,458.243986,1.942954,0.001146,0.017487,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223425,1763720223431,6,4240,2634,458.243986,1.942954,0.000764,0.011658,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,PendingIntentClient
1763720223431,1763720223434,3,4240,2634,458.243986,1.942954,0.000382,0.005829,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223434,1763720223454,20,4240,2634,458.243986,1.942954,0.002546,0.038859,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.scone/.awareness.AwarenessJobIntentService
1763720223454,1763720223787,333,4240,2634,458.243986,1.942954,0.042388,0.647004,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223787,1763720223812,25,4240,2634,458.243986,1.942954,0.003182,0.048574,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223812,1763720223818,6,4240,2634,458.243986,1.942954,0.000764,0.011658,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223818,1763720223907,89,4240,2634,458.243986,1.942954,0.011329,0.172923,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223907,1763720223931,24,4240,2634,458.243986,1.942954,0.003055,0.046631,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720223931,1763720224166,235,4240,2634,458.243986,1.942954,0.029913,0.456594,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224166,1763720224167,1,4240,2634,458.243986,1.942954,0.000127,0.001943,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GmsAlarm:CMAlarm
1763720224167,1763720224171,4,4240,2634,458.243986,1.942954,0.000509,0.007772,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720224171,1763720224424,253,4240,2634,458.243986,1.942954,0.032204,0.491567,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224424,1763720224427,3,4240,2634,458.243986,1.942954,0.000382,0.005829,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Application creation -> Application.onCreate -> Startup Listeners -> CrashStartupListener
1763720224427,1763720226792,2365,4240,2634,458.243986,1.942954,0.301041,4.595087,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720226792,1763720228937,2145,4240,2634,458.243986,1.942954,0.273037,4.167637,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720228937,1763720228940,3,4240,2634,458.243986,1.942954,0.000382,0.005829,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720228940,1763720232254,3314,4240,2634,458.243986,1.942954,0.421839,6.438951,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720232254,1763720232256,2,4240,2634,458.243986,1.942954,0.000255,0.003886,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Wakeful StateMachine: GeofencerStateMachine
1763720232256,1763720267757,35501,4240,2634,458.243986,1.942954,4.518922,68.976828,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720267757,1763720276043,8286,4240,2634,458.243986,1.942954,1.054725,16.099321,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720276043,1763720276051,8,4240,2634,458.243986,1.942954,0.001018,0.015544,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,*walarm*:DhcpClient.wlan0.TIMEOUT
1763720276051,1763720276134,83,4240,2634,458.243986,1.942954,0.010565,0.161265,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720276134,1763720280042,3908,4240,2634,458.243986,1.942954,0.497449,7.593066,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720280042,1763720280043,1,4240,2634,458.243986,1.942954,0.000127,0.001943,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:TIME_TICK
1763720280043,1763720292296,12253,4240,2634,458.243986,1.942954,1.559684,23.807021,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720292296,1763720292297,1,4240,2634,458.243986,1.942954,0.000127,0.001943,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:StatsCompanionService.pull
1763720292297,1763720292299,2,4240,2634,458.243986,1.942954,0.000255,0.003886,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:StatsCompanionService.pull
1763720292299,1763720292306,7,4240,2634,458.243986,1.942954,0.000891,0.013601,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.android.server.stats.StatsCompanionService$PullingAlarmListener
1763720292306,1763720305304,12998,4240,2634,458.243986,1.942954,1.654515,25.254523,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720305304,1763720308744,3440,4240,2634,458.243986,1.942954,0.437878,6.683763,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720308744,1763720329945,21201,4240,2634,458.243986,1.942954,2.698675,41.192578,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720329945,1763720329952,7,4240,2634,458.243986,1.942954,0.000891,0.013601,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329952,1763720329958,6,4240,2634,458.243986,1.942954,0.000764,0.011658,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.CountryCodeDetectorAction
1763720329958,1763720329960,2,4240,2634,458.243986,1.942954,0.000255,0.003886,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329960,1763720329963,3,4240,2634,458.243986,1.942954,0.000382,0.005829,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.SelfParticipantsRefreshAction
1763720329963,1763720329978,15,4240,2634,458.243986,1.942954,0.001909,0.029144,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329978,1763720329979,1,4240,2634,458.243986,1.942954,0.000127,0.001943,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.CountryCodeDetectorAction
1763720329979,1763720329980,1,4240,2634,458.243986,1.942954,0.000127,0.001943,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329980,1763720330481,501,4240,2634,458.243986,1.942954,0.063772,0.973420,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.SelfParticipantsRefreshAction
1763720330481,1763720330484,3,4240,2634,458.243986,1.942954,0.000382,0.005829,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
