start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763720223408,1763720223416,8,4360.891224642115,2436.633068227448,430.764156845966,1.7081693894699028,0.004642739572380805,-0.04459326675467706,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223416,1763720223425,9,4152.238518968592,2428.461162145456,448.5639140535191,1.698954656441671,-0.062032125671635,0.04669500143516548,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223425,1763720223431,6,4155.609466167158,2733.13484539526,380.56584879063644,2.016837999425476,0.03640134785176108,0.08518931736530617,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,PendingIntentClient
1763720223431,1763720223434,3,4501.2096391337345,2914.950246760299,472.61302979387904,2.214350635621585,-0.02451289979554565,-0.06831737402570343,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223434,1763720223454,20,4411.045883196075,2677.8447171373964,493.5728554572601,1.8013041738316784,-0.06615656610397358,0.009865237046293801,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.scone/.awareness.AwarenessJobIntentService
1763720223454,1763720223787,333,4468.7646567357615,2564.580056914867,470.93002622671577,1.7836516805615175,-0.0807180195523289,0.3936206971756761,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223787,1763720223812,25,3968.8047660192165,2501.928306272602,443.4289814247131,2.1416186376359976,-0.049589492007758106,0.07144261814424337,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223812,1763720223818,6,4395.030177736314,2729.2902362751674,430.6432204926408,2.066448588234996,0.02009314050246827,-0.10362007042264682,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223818,1763720223907,89,4368.844569023289,2704.3830454944946,435.2785250300486,1.9131615976622487,0.03933006307900444,0.07755060321716278,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223907,1763720223931,24,4495.006298813055,2577.352226976214,461.05932083302287,1.9798322930097605,-0.05474942537048415,0.02988194412911785,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720223931,1763720224166,235,4232.857540607978,2912.835824145827,460.6502370308738,2.027282278498468,0.03592327265368277,0.5167673131839247,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224166,1763720224167,1,4403.985804494386,2425.570032099497,440.56929878737293,1.952918470048411,0.09841707077657713,-0.026945220214956104,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GmsAlarm:CMAlarm
1763720224167,1763720224171,4,4187.791315720347,2560.672582785499,475.7276976177519,1.8407914836906023,0.0014743554037853644,0.029338027465404096,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720224171,1763720224424,253,4300.686996681285,2742.641985653384,447.06725776579236,2.0337109588563678,0.03962448287755283,0.4880360073794647,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224424,1763720224427,3,4174.00130176646,2901.655246368046,462.7171183972642,1.8782832600954567,-0.019320331174332152,-0.005660607056795428,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Application creation -> Application.onCreate -> Startup Listeners -> CrashStartupListener
1763720224427,1763720226792,2365,4363.877049467498,2614.668569869707,482.6186941291843,1.7281675820522926,0.3551068924472597,4.463396593587516,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720226792,1763720228937,2145,3902.646197058266,2668.894649991056,443.6435839470629,2.0642554223419647,0.3309265592130881,4.289806373655883,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720228937,1763720228940,3,4049.431023111215,2539.5689733756517,469.58105455595575,2.257012458218041,-0.03852904643645459,-0.031140328259407428,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720228940,1763720232254,3314,4145.837778306831,2544.3292088249764,498.1187692474914,1.9756538052249986,0.5329500218833251,6.33119531610209,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720232254,1763720232256,2,4119.707621082866,2755.4358778476803,437.8463147791901,1.8517916434086397,0.08563112599145428,0.05810659148008979,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Wakeful StateMachine: GeofencerStateMachine
1763720232256,1763720267757,35501,4761.225470228347,2573.154026191557,452.8260688287416,1.9436728900760334,4.456587871140211,73.94853833190089,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720267757,1763720276043,8286,4050.8227880454315,2764.1143489342608,467.2111720222189,1.9865472523481624,1.070556559439918,16.41092643653806,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
