start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763718273349,1763718274306,957,4275.725480534772,2765.8504179783818,445.3519814618651,2.286800163494128,0.056355303669631096,1.6921327842718323,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.android.vending/com.google.android.finsky.scheduler.process.mainimpl.PhoneskyJobServiceMain
1763718274306,1763718274880,574,3981.0753216060893,2434.1674739172727,477.96968224053296,1.8867683169372764,0.018130484546420328,1.1080104115656342,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718274880,1763718274925,45,4455.078325531869,2711.3637481100754,480.595155295735,1.9708881465810844,0.002218582986816286,0.05792498219592346,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718274925,1763718274936,11,4071.976072714889,2715.206709746732,484.0920812873145,1.9770757505526444,0.08931980713359326,-0.035089930511938025,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718274936,1763718274945,9,3619.5795601564855,2585.3105518318744,494.66051285671006,2.135666349247555,-0.06578847130228732,0.0769230560202816,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718274945,1763718275027,82,4083.388258136841,2895.1066083276382,462.4009958394341,1.7071333318318893,0.07010231086394433,0.2788202543780559,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275027,1763718275049,22,4343.015973190485,2746.0662507638817,462.2933767432503,1.7701293627189965,0.12873258704248605,0.015143901269115627,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,CMWakeLock
1763718275049,1763718275096,47,4166.257947327175,2626.5903518704413,494.6404764313195,1.884941467144096,-0.000979353260128696,0.11280347906879876,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275096,1763718275247,151,4208.117539753755,2508.7768876508035,478.3840110706937,1.9567370672650202,0.10404127338172846,0.3831414807123182,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718275247,1763718275404,157,3803.5862659422755,2716.894348471543,451.8939116512907,1.85124636763609,0.017799299036960668,0.2820298925561845,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
