start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763720223408,1763720223416,8,4217.462596154087,2627.8129267181257,458.5527654573791,1.7527803021875599,-0.06588593189496154,-0.036069060608287545,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223416,1763720223425,9,4064.171863367184,2660.0543066228015,481.28475729400486,2.159201785402788,0.029420440255920853,-0.022352666692117645,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720223425,1763720223431,6,4065.1164917707806,2498.5003986420743,464.8612567370333,2.0011407708158266,-0.03541591289167345,0.022245947730340096,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,PendingIntentClient
1763720223431,1763720223434,3,3922.741412662841,2481.7085051003955,432.9844271136652,1.9464503074221264,0.0005631741235226854,0.0026830170167547215,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223434,1763720223454,20,3952.293728920151,2650.1425767596957,455.58656450772565,2.1144136265206734,-0.017828786019439005,0.008485171041798432,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.scone/.awareness.AwarenessJobIntentService
1763720223454,1763720223787,333,3967.456672635372,2810.6121002033,462.942768581261,1.70883415806952,-0.06590168181982925,0.7173498264980729,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223787,1763720223812,25,4392.914141508943,2928.037184322438,471.2782725432474,1.7302525693816528,0.05027994365943354,-0.013915403727586373,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223812,1763720223818,6,4140.260932154856,2785.9755194761174,429.10012679803,2.0974478445276152,-0.03214683707036827,0.06909036304485305,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Icing
1763720223818,1763720223907,89,4195.620123918733,2686.2568411184625,458.95461704132106,1.8531596247643811,0.05404847342696289,0.17385426472707888,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720223907,1763720223931,24,4321.606697060829,2594.232046510539,462.3919477714297,1.9279679691749583,-0.0613714466193197,0.07138362738675089,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720223931,1763720224166,235,4350.553653456638,2874.955028733476,477.0740662467888,2.027523780645676,-0.02079972168036207,0.5058317036603799,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224166,1763720224167,1,4429.2804295659735,2449.1400912238278,474.6738858639122,1.9963359259222178,-0.04448246387156694,0.04233166474871185,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GmsAlarm:CMAlarm
1763720224167,1763720224171,4,4228.898855877324,2621.674974170076,456.42025304542796,1.988932690985799,0.06711485192448355,0.03543563217026502,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720224171,1763720224424,253,4314.764793196715,2642.663493406046,407.7916366415428,2.107393658046208,0.08914820135743651,0.6130409134606891,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720224424,1763720224427,3,4282.454179214428,2450.7472876862594,487.6021818316387,1.7903348697475543,-0.020539457142989784,0.018929105647614713,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Application creation -> Application.onCreate -> Startup Listeners -> CrashStartupListener
1763720224427,1763720226792,2365,4066.9539696342335,2656.4345310445333,492.35893610246603,1.9478223176950136,0.25454383448925477,4.378885907471119,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720226792,1763720228937,2145,4313.16424790141,2336.3788150339997,448.9327409921515,1.9231633091592206,0.21477813631188022,4.121584301707618,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720228937,1763720228940,3,4594.541467737474,2781.368422083697,430.4820805039671,1.9909141434626676,0.15543627049715458,-0.09425323581110207,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CMWakeLock
1763720228940,1763720232254,3314,4017.6458863472935,2681.074035494424,474.1852767933198,1.9455053272330625,0.3729392518815688,5.9189273434147704,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720232254,1763720232256,2,3599.789836439145,2574.5429725414583,481.0117113952253,1.9262920916393704,0.03390209773131101,0.03172817184639869,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,Wakeful StateMachine: GeofencerStateMachine
1763720232256,1763720267757,35501,3963.1609223495243,2573.4177818658827,426.39989050339125,1.6288039379911998,4.693063912685374,63.1629027114264,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720267757,1763720276043,8286,4012.0856690632218,2700.723370665765,456.99745589231196,1.9766078247893908,1.330686427570675,16.508193179491826,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720276043,1763720276051,8,4376.430790639413,2700.43246797156,448.00380986337467,1.7221859911811122,0.024607157809412503,-0.06682826300088097,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,*walarm*:DhcpClient.wlan0.TIMEOUT
1763720276051,1763720276134,83,4107.350458658358,2844.77217526269,434.9127412673251,1.9645007087505284,0.058569325944800375,0.14250698655538652,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720276134,1763720280042,3908,3937.6397127644395,2723.8009462571927,475.3524015298205,1.6931263389766964,0.4745939813548428,8.11503391650505,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720280042,1763720280043,1,4256.22191823273,2822.6301083595304,454.9281648896214,1.7822797541078652,-0.02407642998256078,-0.04321220242321339,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:TIME_TICK
1763720280043,1763720292296,12253,4327.24090456251,2459.5526264442433,471.39630787178123,1.9648934875285526,1.7101361921254514,23.403196634727944,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720292296,1763720292297,1,4183.24754113888,2697.165700203546,467.52416786853905,1.9301895761155086,-0.1331854849935841,0.010545714543867709,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:StatsCompanionService.pull
1763720292297,1763720292299,2,4082.1408875511142,2879.8490256220407,436.7569215727283,1.9430096453865702,0.05134233772455258,-0.020799569235640313,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:StatsCompanionService.pull
1763720292299,1763720292306,7,4395.346436240305,2734.0104248665384,476.90932911959993,2.0249753321633936,0.020562351551785166,0.061825919534593494,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.android.server.stats.StatsCompanionService$PullingAlarmListener
1763720292306,1763720305304,12998,4051.6398998813074,2536.5263194903428,454.3004248978484,1.776663669297456,1.5172410577987054,25.09846112623174,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720305304,1763720308744,3440,4258.155235058852,2631.9446415490547,497.66841358536647,1.8570967923559676,0.3646937613834571,6.58650050831639,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720308744,1763720329945,21201,4015.3405114475245,2666.9290871174358,428.5273948801485,2.162305210124047,2.5644485309798752,40.514056997503,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720329945,1763720329952,7,4366.155125178688,2565.0597783142784,485.3273027923716,1.8606420828787535,-0.06371695745751138,0.010747480709480171,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329952,1763720329958,6,4216.090951098449,2646.858789890345,473.7009018164802,1.7187868262517547,0.1507801198619045,0.01547783960367403,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.CountryCodeDetectorAction
1763720329958,1763720329960,2,4164.023234979604,2718.650646176433,499.1747449989553,1.9930426574261833,-0.056060433652347155,0.06178077148561471,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329960,1763720329963,3,4184.020808193378,2516.1986937702322,448.4376985680666,1.7765858347251464,-0.05128331271009598,0.10693538290710447,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.SelfParticipantsRefreshAction
1763720329963,1763720329978,15,4256.250056705208,2887.2280540284555,487.52011279597554,1.6554208585485597,-0.0483120224956892,0.011249446144336473,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329978,1763720329979,1,4391.677742348562,2601.143703234807,436.60623800099967,1.9406323811651685,0.015858437164842993,0.0044986677872627355,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.CountryCodeDetectorAction
1763720329979,1763720329980,1,4190.7643768172165,2543.723504224948,438.3397458776762,2.026162523047629,-0.05972459387554575,0.030372658867277462,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720329980,1763720330481,501,4403.632864086588,2642.137800647393,424.01670732693424,2.0545484560833485,0.06958983929669445,1.0087587324882916,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.SelfParticipantsRefreshAction
1763720330481,1763720330484,3,4552.458980399418,2492.5027374165957,433.8928451031338,1.8461502995605998,-0.05501947090665033,-0.041915701760762425,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720330484,1763720330487,3,4438.308734256496,2812.654764279151,446.22974228998214,1.9614043718314274,0.01726662716524172,0.06820665699653598,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,bugle_datamodel_executor_wakelock
1763720330487,1763720330495,8,4427.538249208252,2676.6142159500764,488.0856073446432,1.9736732116804285,0.001760755341075972,-0.01563779305812838,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,com.google.android.apps.messaging.shared.datamodel.action.SelfParticipantsRefreshAction
1763720330495,1763720334318,3823,4715.393461877889,2471.6116240462798,472.5867159431703,1.94413798250828,0.4246342978771067,7.427558834469488,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720334318,1763720340041,5723,4432.374362279596,2892.3326905909744,454.3270244195147,2.0524458365354192,0.5859620038843691,10.966044180715775,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720340041,1763720340042,1,4085.2790240072113,2737.904821624534,508.3047145181396,1.7778360286742652,-0.017410474042567375,-0.036367944054598346,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,*alarm*:TIME_TICK
1763720340042,1763720344080,4038,4470.076398126676,2499.8549353200506,441.03417699163543,2.04498514091439,0.5568561267574914,7.071694744480675,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720344080,1763720344081,1,4428.6706771510135,2512.9839898312025,495.19208225150066,2.1482371307711774,-0.029237231686485274,-0.032325862509638995,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,bluetooth_timer
1763720344081,1763720344084,3,4142.699800188069,2675.5702323870983,476.86279569175633,2.002022590241941,-0.06161704088753736,0.00945232337235756,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720344084,1763720344085,1,4080.7112996035457,2589.146995062857,458.53708399396635,2.0771822041474732,-0.11908454694894337,-0.12097118628997687,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,bluetooth_timer
1763720344085,1763720350733,6648,4454.186427897564,2379.0018135005894,434.33240799779907,1.9626841366962604,0.7866715901378053,13.299599172717668,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720350733,1763720360552,9819,4703.687351869786,2533.7155978741243,454.7548281077601,1.758642838381818,1.3864994477298862,18.823117328154964,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720360552,1763720360553,1,4725.624975806873,2775.364282664712,423.32485368664226,2.1742818994415725,-0.01739824696236445,0.002588818959959934,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*alarm*:*job.delay*
1763720360553,1763720360931,378,4630.556756992606,2609.3639282362187,449.11673696015487,2.1015438387992735,0.04519874948783638,0.5287462184075226,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720360931,1763720361040,109,3979.790236021747,2741.59881276331,478.73826966596164,1.8243008570802879,0.12133488987973941,0.09063810795041488,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.setupwizard/.deferred.DeferredSetupScheduler
1763720361040,1763720361157,117,4338.914930466997,2581.2160849566726,446.72905364080134,1.9201407342700283,0.005773807205221249,0.2623849944949373,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.setupwizard/.deferred.DeferredSetupScheduler
1763720361157,1763720361336,179,4531.345380813158,2636.6330429000673,481.0278121343994,1.8695941160744272,0.004853567938544308,0.3391864883910968,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.photos/.dbprocessor.impl.DatabaseProcessorJobService
1763720361336,1763720376984,15648,4143.507749906362,2380.5921484931378,469.1839008338912,2.1484185240635516,1.6532919824899308,30.486265442155208,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720376984,1763720377043,59,4441.243411953919,2521.472034326017,476.50885659942224,1.8730891540017203,-0.055424147019160416,0.18223697996720323,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720377043,1763720397464,20421,3978.1859857442714,2679.762049234404,440.6324173665935,1.794236432003066,2.5369485565628604,38.10478794747133,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720397464,1763720397818,354,4119.547886949511,2843.739800139416,436.96102016560354,1.8170179772071549,0.10523314555533034,0.7909587161206307,com.poncle.vampiresurvivors,True,False,False,True,False,False,False,True,AudioMix
1763720397818,1763720400042,2224,3997.1299069853603,2522.227770089513,443.56061704812385,2.0373253637530295,0.25662230891192345,4.633425820721294,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720400042,1763720412257,12215,4172.6011653266905,2769.8597627916356,450.69301060867224,1.9664092299379443,1.4834380665928935,22.63030260604475,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,AudioMix
1763720412257,1763720412258,1,4167.3493890462505,2592.3676271359827,471.4913002261272,1.7939558943885947,-0.003277347197069265,0.07445386270864929,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*walarm*:GmsAlarm:NetworkLocationLocator:19
1763720412258,1763720412261,3,4103.151538320772,2728.3983634755837,443.3741913290069,2.095839428735623,-0.0028278036107394567,-0.04095295625927551,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GmsAlarm:NetworkLocationLocator
1763720412261,1763720412262,1,4167.273870268258,2501.223627015178,447.4371741516885,1.7035508545453388,-0.019349500766168915,0.04400410592689095,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GmsAlarm:NetworkLocationLocator
1763720412262,1763720412263,1,4204.8091351914545,2613.044140081207,431.47195968372023,1.936590082446808,0.012776565115463913,0.04152158040161972,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,*walarm*:GmsAlarm:NetworkLocationLocator:19
1763720412263,1763720412269,6,4055.4578391719765,2509.7719150171874,482.926029046764,2.0823700056515086,-0.02094411376109902,0.04352532170732875,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,CallbackRunner
1763720412269,1763720412270,1,3991.5986202898926,2619.4609949298842,488.7645373970928,2.117011748474625,-0.05652032219034973,0.05095469373882685,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GCoreFlp
1763720412270,1763720412284,14,4259.038709478653,2717.483084544976,449.75345933590506,1.6257054271342308,-0.05362208226362308,0.1103350841341717,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GCoreFlp
1763720412284,1763720412288,4,4099.805126043729,2518.1761862093404,442.55446850459595,1.7679200392505654,-0.0171988173569394,-0.06523941745878395,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,PendingIntentClient
1763720412288,1763720412291,3,4299.226208416677,2930.548696782094,456.0927359694014,1.9784666903867147,0.01302119507871366,0.01798299255090608,com.poncle.vampiresurvivors,True,False,False,True,True,False,False,True,GCoreFlp
