start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763718273349,1763718274306,957,4111.80568201854,2609.9546898617573,481.8703999156164,2.07946546837377,0.1195672420954706,1.9068270610729738,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.android.vending/com.google.android.finsky.scheduler.process.mainimpl.PhoneskyJobServiceMain
1763718274306,1763718274880,574,4127.7030513573145,2602.368339943451,456.46827882551906,1.725452259445853,0.1030107456486746,1.1320666473497014,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718274880,1763718274925,45,3952.9087034463373,2647.458076617582,444.0719200457367,2.029585134042488,0.03395667960197083,0.07945629792869198,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718274925,1763718274936,11,4248.973134467609,2815.5732846286073,473.3918144765809,2.1848645022915334,0.0891356625279108,0.014187195414353723,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718274936,1763718274945,9,4405.275303527834,2769.2774109600073,439.30570517832996,2.0141372149086605,-0.03640318547033217,-0.08003389149369769,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718274945,1763718275027,82,4151.21526365168,2834.4345306032974,466.7822493497607,1.7535481615073762,0.03947034522979574,0.1266541886837873,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275027,1763718275049,22,4119.200466453161,2637.957536044118,485.04912947754985,1.8714489820539293,0.019972036498649606,-0.0425718399374858,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,CMWakeLock
1763718275049,1763718275096,47,4114.3371966477025,2901.4501200636532,469.31953992524,2.3082157497092353,0.011630400310601675,0.0809702281124443,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275096,1763718275247,151,4253.629468400761,2638.1032195374555,474.6878373902459,2.0946370887581796,-0.049642683742889174,0.29522843636251955,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Icing
1763718275247,1763718275404,157,3572.281927263916,2710.7794273060545,440.90700356277193,1.9795432158013004,0.08663105984577793,0.3921023003291517,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275404,1763718275405,1,4378.603148437928,2529.772328683409,461.08616260159914,1.8448422328707874,-0.01417657424448744,-0.011183057783245607,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,GmsAlarm:CMAlarm
1763718275405,1763718275406,1,4056.271273953822,2709.545062721013,507.64788017605304,1.693360042629667,-0.018949579200467175,0.0029663615746680734,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,GmsAlarm:CMAlarm
1763718275406,1763718275444,38,4075.544969934976,2853.608509954327,484.36095465024835,1.8005396669124623,0.0017287684786410447,0.06912428306874505,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,CMWakeLock
1763718275444,1763718275554,110,4363.134158266964,2819.2613263094872,475.32144140788336,2.120351840115386,-0.07221664930031285,0.1909050069921645,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718275554,1763718275556,2,4104.75037577054,2774.78863421528,419.9808988751206,1.9031443174117586,0.04514802612062126,0.10748036878709778,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Application creation -> Application.onCreate -> Startup Listeners -> CrashStartupListener
1763718275556,1763718276205,649,4396.5355383123315,2665.4046906702347,466.8207388926962,1.8982623687751665,0.00513674172742358,1.336527797823198,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718276205,1763718276207,2,4217.80963918279,2852.1681005238247,469.48311648874443,1.9645278679940255,0.02462322920257812,-0.06271486596543357,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.tachyon/com.google.android.libraries.internal.growth.growthkit.internal.jobs.impl.GrowthKitJobService
1763718276207,1763718276259,52,4077.4952799914495,2573.826940103456,440.7942405533866,1.8266137681379775,0.03986466005496609,0.08468349727380303,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.tachyon/com.google.android.libraries.internal.growth.growthkit.internal.jobs.impl.GrowthKitJobService
1763718276259,1763718277888,1629,4284.435088220101,2626.1827129960566,443.61311363104903,1.988544403837704,0.24216476359854638,2.9834567009559354,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718277888,1763718278452,564,4149.7795218727115,2686.5174043568077,458.2613022489701,1.8729896384968647,0.09307320169686457,1.1556727665694029,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.kiloo.subwaysurf/com.google.android.datatransport.runtime.scheduling.jobscheduling.JobInfoSchedulerService
1763718278452,1763718280024,1572,4438.145080284008,3024.092549821429,506.4966103997527,1.8079267685596023,0.18255329998170217,3.4481762268414604,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718280024,1763718280027,3,4225.782432477565,2591.4134296325965,514.4797769324227,2.118067988437132,0.05828045557759236,0.04266860636924296,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,CMWakeLock
1763718280027,1763718283249,3222,4390.454830120088,2610.0490687779293,444.6648153903654,1.8339800747632067,0.28984460060605705,6.1304589924460595,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718283249,1763718283251,2,4048.816092489814,2649.509391547155,505.2017267035152,2.091398281859743,-0.017004686880873886,-0.09679890295396773,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,Wakeful StateMachine: GeofencerStateMachine
1763718283251,1763718294662,11411,3857.5278269797836,2576.2810842347108,436.7207191191686,1.955332875197658,1.7495074373200037,22.870707071389102,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718294662,1763718294669,7,4243.195392537892,2711.632826793836,454.6837995317125,2.025734295252904,-0.03649616708113359,0.02086376336421782,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.turbo/.deadline.library.BatteryFlagService
1763718294669,1763718294760,91,3933.8744232771005,2613.817672162373,464.67989991817717,1.8237328784287454,0.011091140606003252,0.04185955745551603,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.turbo/.nudges.broadcasts.BatteryHistoryLoggerJobService
1763718294760,1763718294765,5,4143.423182869915,2615.5046359420235,483.8192246919107,1.8204370735605078,0.009315573543270164,-0.03206188179300727,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.turbo/.deadline.library.BatteryFlagService
1763718294765,1763718300051,5286,4183.721880334372,2564.0191988909064,466.09221006852533,1.7564747639780223,0.6918575777154496,8.79715683232686,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718300051,1763718300052,1,4415.84093663218,2667.762241782499,458.42225140314645,1.9903114673702997,0.09557591493958685,-0.031030927768379166,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*alarm*:TIME_TICK
1763718300052,1763718309747,9695,3869.1699501546577,2701.967231982028,439.6423206343069,1.8127687891849238,1.3925778838139689,18.058866904137503,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718309747,1763718310110,363,3631.443728845202,2808.2418731803355,462.6998999724416,2.0373015743838274,0.030334714368574586,0.8791180398234435,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.kiloo.subwaysurf/androidx.work.impl.background.systemjob.SystemJobService
1763718310110,1763718352380,42270,4192.766428016578,2709.814655095486,470.8424798331613,2.01168733525247,5.329839551816843,82.16669612273539,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718352380,1763718352383,3,4316.58423290011,2624.2795596077117,453.91622006986216,1.816668639089461,-0.07303131801315699,-0.09396136475492775,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.google.android.apps.photos/.dbprocessor.impl.DatabaseProcessorJobService
1763718352383,1763718360051,7668,4122.519211725631,2720.250288855653,462.4814101528273,1.9016224260148393,0.9701239720725218,14.955346723943292,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718360051,1763718360052,1,4253.252445837185,2955.45823180481,456.0274311098684,2.0459794855250237,0.03955323217484744,0.03221191866556024,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*alarm*:TIME_TICK
1763718360052,1763718369749,9697,4081.1707992707416,2850.416808169571,431.1769290980499,1.898796653433478,1.2366415875960641,18.215216981122317,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718369749,1763718369998,249,4329.808504305966,2899.736136637003,461.2499047010676,1.9408550602843166,0.10335678098810033,0.4190137986134593,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/com.kiloo.subwaysurf/androidx.work.impl.background.systemjob.SystemJobService
1763718369998,1763718376837,6839,4210.39578168444,2710.1714514806463,486.3604267503,1.8986966116686252,0.8839394176749963,13.962543669088825,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718376837,1763718376838,1,3919.3708611450447,2630.6997052583843,429.8288196386688,2.032817958573731,-0.06636009704259603,0.06058783059220899,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*alarm*:*job.delay*
1763718376838,1763718376849,11,4421.885511661758,2572.5232582130006,486.2967004602893,2.1348883102521485,0.01973562328836407,0.04196344580420641,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718376849,1763718376850,1,4005.9568047670923,2737.4090328112734,452.1147742548936,1.926252315669338,0.024053177674500728,0.011675859053199636,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/subscribedfeeds/com.google/XXX@gmail.com:android
1763718376850,1763718376851,1,4072.818347488506,2637.2845672499393,453.7950694886707,1.9439959423264808,0.05321811351417536,-0.02161238813634486,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718376851,1763718376855,4,4023.695754936832,2473.018220329905,465.96866508398887,2.225558099016122,-0.024991472105672364,0.029400595795580582,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718376855,1763718376856,1,4437.934849541695,2579.0415851629486,465.99164758277465,1.869252398335666,-0.014147169840155986,-0.03075011003911149,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*job*/subscribedfeeds/com.google/XXX@gmail.com:android
1763718376856,1763718376860,4,4486.244570892302,2682.9566013842277,477.510897850905,1.7789951994313613,-0.0488325784684218,0.08702471387989082,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718376860,1763718376861,1,3817.6268044158614,2831.1616394196735,453.1667524688624,1.8662235874170843,0.03785998583101495,-0.038393569002368635,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*sync*/subscribedfeeds/com.google/XXX@gmail.com
1763718376861,1763718376862,1,4308.753119927627,2617.8623401633868,468.26577039789794,2.070016611864312,0.023399306959086024,0.04177900694530735,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718376862,1763718376868,6,4235.223991314593,2601.030360898703,451.1490467361183,1.9004212386384456,0.1008023196806226,0.04802527045709233,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*sync*/subscribedfeeds/com.google/XXX@gmail.com
1763718376868,1763718376869,1,4485.740110387306,2620.5245575910917,434.6892175066055,1.9533788479611627,-0.05452742412322941,-0.023921383567123193,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718376869,1763718377223,354,4210.520979122174,2610.078156832732,476.5405513815377,1.68743386181976,0.07354523808998589,0.7617190015567937,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*sync*/subscribedfeeds/com.google/XXX@gmail.com
1763718377223,1763718377227,4,4404.724908076844,2693.930812627336,459.02405631835694,1.9975129452824414,-0.0067232915631448625,-0.03878968775003646,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*sync*/subscribedfeeds/com.google/XXX@gmail.com
1763718377227,1763718377234,7,4293.0449503418085,2703.338843034715,431.5717367799331,2.007758859906378,-0.017997251103558883,0.010991218615688112,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718377234,1763718377236,2,3989.0556988569456,2703.891274239931,421.86253414248705,1.7391252976692404,0.04883846633989363,0.0250897321175639,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718377236,1763718377238,2,4297.208562612977,2723.013629030653,446.7340416747757,1.9788865734573613,-0.038808057938234636,-0.04426639742477413,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,SyncLoopWakeLock
1763718377238,1763718413701,36463,3949.128353829203,2790.3137624965625,434.51665710630374,2.007430642734857,4.68423839638328,73.6254977280625,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,AudioMix
1763718413701,1763718413703,2,4296.342281459828,2555.6981602116875,449.8135652213181,1.9011541057669523,-0.04187029852138948,0.01579790696508306,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION
1763718413703,1763718413705,2,4191.883492418656,2574.0037997072463,476.69073300557324,2.111771374153141,0.080862816659995,0.05298389745483442,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION
1763718413705,1763718413708,3,4140.681170057802,2846.6921955654657,446.14456489156976,1.8903968804344238,0.03557507781564757,0.03204189359275941,com.kiloo.subwaysurf,True,False,False,True,True,False,False,True,CallbackRunner
