start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1763719189719,1763719189723,4,4479.353293377571,2503.614558979764,255.56970561117026,1.004403380195964,-0.03631107081507025,-0.046964399116377814,com.google.android.apps.nexuslauncher,True,False,False,True,True,False,False,False,*launch*
1763719189723,1763719189768,45,4095.272271774015,2678.9849166943027,258.7968299143823,1.2602103009967867,-0.0025802842539964766,0.033356873860632366,,True,False,False,True,True,False,False,False,*launch*
1763719189768,1763719190067,299,4478.9800787574995,2369.931663390288,259.4417821812465,0.8425504987323732,0.08511531604654307,0.1911476787487996,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*launch*
1763719190067,1763719190472,405,4168.381802825505,2517.022128837423,272.28267598817706,1.1378477079667628,0.11980639725724807,0.47116989950501836,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,CallbackRunner
1763719190472,1763719190482,10,4041.5909185857345,2525.5298424592797,257.00995502153955,0.9844197739663308,0.022843988712519653,-0.17869336314822223,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719190482,1763719190484,2,4370.954093000354,2687.114608879546,256.283784537616,1.219763830544148,-0.011203804580422277,0.1266252469407301,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719190484,1763719190485,1,4252.780927697091,2512.8179324912494,274.74799679467054,1.1038205695727585,-0.013673236976120945,0.026239771414281313,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719190485,1763719190491,6,4023.8328955871484,2542.747756078334,256.01560195908064,1.2329911000151574,0.031744661340614405,0.05474869662464692,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719190491,1763719190493,2,3833.5797201043415,2725.433373606704,255.35895102933995,1.0693310698877767,0.06599329835646522,-0.0550830631374923,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719190493,1763719190495,2,4345.275440987392,2841.887417769654,225.46570427170636,1.1269149201000888,-0.0497570493529808,-0.06185992229609776,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719190495,1763719191000,505,4156.7348167402115,2721.8361640474177,253.33200018933817,0.8817537893288396,0.0685042375811087,0.4091333271630199,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719191000,1763719191001,1,4104.519556367608,2715.3161156505585,265.00028310899086,0.9583677046455018,0.014864225116561783,-0.01340047842911509,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,GmsAlarm:CMAlarm
1763719191001,1763719191006,5,3991.2018021800627,2770.0758177866733,252.5881092666987,0.8553547916109039,0.02279166842597162,-0.015056259221820516,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,CMWakeLock
1763719191006,1763719192505,1499,4321.508132285534,2382.790128179057,245.71268568505866,1.0754001288372659,0.16821693492156853,1.5466533719189746,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719192505,1763719192507,2,3813.6522902622146,2537.647055040376,263.2882698831043,0.9918201729545165,-0.08417538862335842,0.03989568244116764,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719192507,1763719192531,24,4533.861925642554,2662.329519789132,279.3051826745012,0.9815066476231963,-0.14785872172078637,-0.054913130857876316,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719192531,1763719192532,1,4018.0066125344674,2580.8292440339433,245.1419531983886,1.1139691482102614,-0.015248542472412968,-0.04308338150850034,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*job*/com.google.android.gms.games.background/com.google/XXX@gmail.com:android
1763719192532,1763719192536,4,4034.4695592398202,2755.0660380949994,235.92830293963064,0.9568948573215416,-0.009060927917680352,-0.025075704769660624,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*sync*/com.google.android.gms.games.background/com.google/XXX@gmail.com
1763719192536,1763719192539,3,4498.208891629856,2663.2231085957396,247.74806616079687,1.0496777626533278,-0.0259145358028299,0.07132054105119048,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,SyncLoopWakeLock
1763719192539,1763719200038,7499,4430.9210663817785,2613.8958157454695,263.6323948990591,1.1260890074647192,0.5100696715475538,7.0033399871242334,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,CallbackRunner
1763719200038,1763719200044,6,4073.560230077128,2893.774259914024,243.7001159303405,1.0794224765560854,0.023345582099450226,-0.048685377310218304,com.tpcstld.twozerogame,True,False,False,True,True,False,False,False,*alarm*:TIME_TICK
